game,day,memory.max,memory.total,memory.used,memory.free
1,15,+1024000.000,+34816.000,+8933.000,+25883.000
1,16,+1024000.000,+40960.000,+9080.000,+31880.000
1,17,+1024000.000,+34816.000,+8950.000,+25866.000
1,18,+1024000.000,+34816.000,+8879.000,+25937.000
1,19,+1024000.000,+34816.000,+8893.000,+25923.000
1,20,+1024000.000,+45056.000,+9059.000,+35997.000
1,21,+1024000.000,+45056.000,+9533.000,+35523.000
1,22,+1024000.000,+37888.000,+8915.000,+28973.000
1,23,+1024000.000,+150528.000,+9670.000,+140858.000
1,24,+1024000.000,+150528.000,+9631.000,+140897.000
1,25,+1024000.000,+40960.000,+8969.000,+31991.000
1,26,+1024000.000,+37888.000,+8907.000,+28981.000
1,27,+1024000.000,+150528.000,+9650.000,+140878.000
1,28,+1024000.000,+45056.000,+8986.000,+36070.000
1,29,+1024000.000,+37888.000,+8920.000,+28968.000
1,30,+1024000.000,+34816.000,+8904.000,+25912.000
1,31,+1024000.000,+40960.000,+8978.000,+31982.000
1,32,+1024000.000,+40960.000,+8954.000,+32006.000
1,33,+1024000.000,+34816.000,+8890.000,+25926.000
1,34,+1024000.000,+34816.000,+8916.000,+25900.000
1,35,+1024000.000,+45056.000,+8997.000,+36059.000
1,36,+1024000.000,+37888.000,+8940.000,+28948.000
1,37,+1024000.000,+34816.000,+8873.000,+25943.000
1,38,+1024000.000,+34816.000,+8947.000,+25869.000
1,39,+1024000.000,+34816.000,+8917.000,+25899.000
1,40,+1024000.000,+45056.000,+9014.000,+36042.000
1,41,+1024000.000,+34816.000,+8884.000,+25932.000
1,42,+1024000.000,+34816.000,+8969.000,+25847.000
1,43,+1024000.000,+34816.000,+8974.000,+25842.000
1,44,+1024000.000,+40960.000,+9020.000,+31940.000
1,45,+1024000.000,+37888.000,+8943.000,+28945.000
1,46,+1024000.000,+34816.000,+8948.000,+25868.000
1,47,+1024000.000,+34816.000,+8895.000,+25921.000
1,48,+1024000.000,+45056.000,+8999.000,+36057.000
1,49,+1024000.000,+37888.000,+9026.000,+28862.000
1,50,+1024000.000,+37888.000,+9541.000,+28347.000
1,51,+1024000.000,+150528.000,+9747.000,+140781.000
1,52,+1024000.000,+45056.000,+9036.000,+36020.000
1,53,+1024000.000,+34816.000,+9052.000,+25764.000
1,54,+1024000.000,+34816.000,+8933.000,+25883.000
1,55,+1024000.000,+45056.000,+9017.000,+36039.000
1,56,+1024000.000,+45056.000,+9473.000,+35583.000
1,57,+1024000.000,+153600.000,+9741.000,+143859.000
